Participant	Frame	Preview	Sign	Pre_Target_Skip	FFD_ms	GD_ms	TRT_ms	Reading_Scores	AOA	Group
5	35	UNR	Unrelated	0	758	758	952	203	0	Deaf
5	36	COR	Identical	0	279	514	639	203	0	Deaf
5	37	SIGN	HLM	0	148	317	449	203	0	Deaf
5	38	UNR	Unrelated	0	183	183	434	203	0	Deaf
5	39	COR	Identical	0	147	147	147	203	0	Deaf
5	40	SIGN	HL	0	199	199	382	203	0	Deaf
5	41	UNR	Unrelated	0	361	512	512	203	0	Deaf
5	42	COR	Identical	1	295	295	422	203	0	Deaf
5	43	SIGN	HM	0	521	521	1380	203	0	Deaf
5	44	UNR	Unrelated	0	207	207	589	203	0	Deaf
5	45	COR	Identical	0	347	651	869	203	0	Deaf
5	46	SIGN	HM	0	186	186	186	203	0	Deaf
5	47	UNR	Unrelated	1	33	33	727	203	0	Deaf
5	48	COR	Identical	0	NA	NA	0	203	0	Deaf
5	49	SIGN	HM	0	251	333	333	203	0	Deaf
5	50	UNR	Unrelated	0	296	296	296	203	0	Deaf
5	51	COR	Identical	0	300	300	792	203	0	Deaf
5	52	SIGN	HM	1	162	162	645	203	0	Deaf
5	53	UNR	Unrelated	0	124	124	250	203	0	Deaf
5	54	COR	Identical	0	202	202	362	203	0	Deaf
5	55	SIGN	HM	0	205	351	634	203	0	Deaf
5	56	UNR	Unrelated	0	280	280	1221	203	0	Deaf
5	57	COR	Identical	0	95	95	263	203	0	Deaf
5	58	SIGN	HM	0	346	346	527	203	0	Deaf
5	59	UNR	Unrelated	0	232	442	713	203	0	Deaf
5	60	COR	Identical	0	165	165	165	203	0	Deaf
5	61	SIGN	HLM	0	285	285	661	203	0	Deaf
5	62	UNR	Unrelated	0	272	272	755	203	0	Deaf
5	63	COR	Identical	0	131	161	428	203	0	Deaf
5	64	SIGN	HLM	0	312	312	1057	203	0	Deaf
5	65	UNR	Unrelated	0	73	243	500	203	0	Deaf
5	66	COR	Identical	1	188	273	485	203	0	Deaf
5	67	SIGN	HLM	0	172	172	368	203	0	Deaf
5	68	UNR	Unrelated	0	176	441	854	203	0	Deaf
5	69	COR	Identical	0	404	404	560	203	0	Deaf
5	70	SIGN	HLM	1	200	335	335	203	0	Deaf
5	71	UNR	Unrelated	0	295	295	578	203	0	Deaf
5	72	COR	Identical	0	189	189	235	203	0	Deaf
5	73	SIGN	LM	0	166	166	166	203	0	Deaf
5	74	UNR	Unrelated	0	371	539	823	203	0	Deaf
5	75	COR	Identical	0	156	418	1956	203	0	Deaf
5	76	SIGN	HLM	0	169	169	169	203	0	Deaf
5	77	UNR	Unrelated	0	144	144	271	203	0	Deaf
5	78	COR	Identical	0	177	324	709	203	0	Deaf
5	79	SIGN	HL	0	208	383	464	203	0	Deaf
5	80	UNR	Unrelated	1	169	169	169	203	0	Deaf
6	1	COR	Identical	0	339	581	1020	192	0	Deaf
6	2	SIGN	LM	0	545	545	1524	192	0	Deaf
6	3	UNR	Unrelated	0	167	167	596	192	0	Deaf
6	4	COR	Identical	1	256	256	473	192	0	Deaf
6	5	SIGN	LM	0	230	460	460	192	0	Deaf
6	6	UNR	Unrelated	0	450	450	900	192	0	Deaf
6	7	COR	Identical	0	219	596	813	192	0	Deaf
6	8	SIGN	LM	0	497	497	1375	192	0	Deaf
6	9	UNR	Unrelated	0	421	421	780	192	0	Deaf
6	10	COR	Identical	0	213	213	250	192	0	Deaf
6	11	SIGN	LM	0	732	732	1937	192	0	Deaf
6	12	UNR	Unrelated	1	242	555	920	192	0	Deaf
6	13	COR	Identical	0	418	418	1083	192	0	Deaf
6	14	SIGN	LM	0	498	498	963	192	0	Deaf
6	15	UNR	Unrelated	1	436	436	1023	192	0	Deaf
6	16	COR	Identical	0	244	683	925	192	0	Deaf
6	17	SIGN	LM	0	236	393	1479	192	0	Deaf
6	18	UNR	Unrelated	0	177	177	965	192	0	Deaf
6	19	COR	Identical	0	233	486	486	192	0	Deaf
6	20	SIGN	LM	0	461	461	1204	192	0	Deaf
6	21	UNR	Unrelated	0	183	183	432	192	0	Deaf
6	22	COR	Identical	0	227	667	1166	192	0	Deaf
6	23	SIGN	HL	0	575	575	1073	192	0	Deaf
6	24	UNR	Unrelated	0	565	781	1032	192	0	Deaf
6	25	COR	Identical	0	236	520	520	192	0	Deaf
6	26	SIGN	HL	0	272	433	936	192	0	Deaf
6	27	UNR	Unrelated	0	46	46	399	192	0	Deaf
